prompt_id,source_type,source_role,title,conversation_id,message_id,source_file,source_timestamp,source_sha256,prompt_text_sha256,source_record_status,source_integrity_status,discovery_status,semantic_status,runtime_status,canonical_status,release_status,lifecycle,lineage_status,dependency_status,project_link_status,persistence_status,audit_status,better_version_status,active_use_status,prompt_chars,prompt_words
PB-0510,CHAT_ARCHIVE_EXTRACTED,assistant,سبک اموزش پرامپت,68ca9262-d1e4-832c-984f-d62cb593401b,7bca311b-d9ef-4849-a64d-207a8b6b9ff4,conversations-000.json,1758746174.497244,b8bc19879a2730b0d9f88d28e6719c1399b4c09343058374907535d229c52d39,838fde33a103bd3be7e2100674592651267746b1411d9f86ab51f50d6b81b9b8,CANONICAL_SOURCE_RECORD,EXACT_SOURCE_CAPTURE,STRUCTURAL_SCAN_DISCOVERED,VALIDATED_STRUCTURAL,NOT_TESTED,FROZEN_SOURCE_TEXT,NOT_RELEASED,FROZEN_SOURCE_TEXT,ROOT_SOURCE_CAPTURE_FROM_DISCOVERY,OPEN_FOR_SOURCE_MAPPING,SOURCE_CHAT_LINK_PROVEN,LIBRARY_PRESENT_V3_ARTIFACTS,PENDING_FULL_PROMPT_AUDIT,PENDING_COMPARATIVE_AUDIT,CONTROLLED_NOT_RELEASED,1524,240
PB-0511,CHAT_ARCHIVE_EXTRACTED,assistant,پرامپت اموزش دروس,68d309a6-6d04-832a-9309-dc3236ecd0c0,58fed705-6bf5-4649-9f0e-e050ab2296f5,conversations-000.json,1759265334.950081,01ac1c9164cf96d487b042d05d2e0c48d0fbb5ddc3eaa0663ccb0e0df80b8177,564e837f573c056ca6780e9ec5082253e3e0ad1c14af4d8faae298adc7e93507,CANONICAL_SOURCE_RECORD,EXACT_SOURCE_CAPTURE,STRUCTURAL_SCAN_DISCOVERED,VALIDATED_STRUCTURAL,NOT_TESTED,FROZEN_SOURCE_TEXT,NOT_RELEASED,FROZEN_SOURCE_TEXT,ROOT_SOURCE_CAPTURE_FROM_DISCOVERY,OPEN_FOR_SOURCE_MAPPING,SOURCE_CHAT_LINK_PROVEN,LIBRARY_PRESENT_V3_ARTIFACTS,PENDING_FULL_PROMPT_AUDIT,PENDING_COMPARATIVE_AUDIT,CONTROLLED_NOT_RELEASED,15074,2459
PB-0512,CHAT_ARCHIVE_EXTRACTED,assistant,پرامپت اموزش دروس,68d309a6-6d04-832a-9309-dc3236ecd0c0,de2f26dd-3435-4eed-b49e-c32e07db2937,conversations-000.json,1758666670.082131,5eb709c289eee68b91e2b598bfdf9b648a765e9a9df2e76b3bb9b21ab3a9f3da,54cb43f7c2aca73685a688715a914106443772cfec40b166c937f38f07d97967,CANONICAL_SOURCE_RECORD,EXACT_SOURCE_CAPTURE,STRUCTURAL_SCAN_DISCOVERED,VALIDATED_STRUCTURAL,NOT_TESTED,FROZEN_SOURCE_TEXT,NOT_RELEASED,FROZEN_SOURCE_TEXT,ROOT_SOURCE_CAPTURE_FROM_DISCOVERY,OPEN_FOR_SOURCE_MAPPING,SOURCE_CHAT_LINK_PROVEN,LIBRARY_PRESENT_V3_ARTIFACTS,PENDING_FULL_PROMPT_AUDIT,PENDING_COMPARATIVE_AUDIT,CONTROLLED_NOT_RELEASED,3190,527
PB-0513,CHAT_ARCHIVE_EXTRACTED,assistant,آموزش گام‌به‌گام حقوق,68d31ff2-bc94-832b-9389-b2dca7eed302,1873c790-5a0b-4375-b0d2-9b4a86ffb6d8,conversations-000.json,1758728922.354282,72db606c3a6d59cee25212b509c4ac2d60dafd0efcfea323484455b813cfbbee,0daca49f4c4174161f5b0f2dbe4fcded5bbec511afd2a6cf70300633c5ed9e33,CANONICAL_SOURCE_RECORD,EXACT_SOURCE_CAPTURE,STRUCTURAL_SCAN_DISCOVERED,VALIDATED_STRUCTURAL,NOT_TESTED,FROZEN_SOURCE_TEXT,NOT_RELEASED,FROZEN_SOURCE_TEXT,ROOT_SOURCE_CAPTURE_FROM_DISCOVERY,OPEN_FOR_SOURCE_MAPPING,SOURCE_CHAT_LINK_PROVEN,LIBRARY_PRESENT_V3_ARTIFACTS,PENDING_FULL_PROMPT_AUDIT,PENDING_COMPARATIVE_AUDIT,CONTROLLED_NOT_RELEASED,3552,537
PB-0514,CHAT_ARCHIVE_EXTRACTED,assistant,آموزش گام‌به‌گام حقوق,68d31ff2-bc94-832b-9389-b2dca7eed302,a74f3fdd-aaab-457f-ad59-c613b0dc7a54,conversations-000.json,1758666863.37582,202fd7705219bc5d85ea039b20dfec94dfcafaa91f7f133b833d14924f947115,6522cc975fed4437e6b9a57c4fe9f4f8a6107fcec280e6e06784ba2e7a06cb33,CANONICAL_SOURCE_RECORD,EXACT_SOURCE_CAPTURE,STRUCTURAL_SCAN_DISCOVERED,VALIDATED_STRUCTURAL,NOT_TESTED,FROZEN_SOURCE_TEXT,NOT_RELEASED,FROZEN_SOURCE_TEXT,ROOT_SOURCE_CAPTURE_FROM_DISCOVERY,OPEN_FOR_SOURCE_MAPPING,SOURCE_CHAT_LINK_PROVEN,LIBRARY_PRESENT_V3_ARTIFACTS,PENDING_FULL_PROMPT_AUDIT,PENDING_COMPARATIVE_AUDIT,CONTROLLED_NOT_RELEASED,3900,681
PB-0515,CHAT_ARCHIVE_EXTRACTED,assistant,آموزش گام‌به‌گام حقوق,68d31ff2-bc94-832b-9389-b2dca7eed302,b0c24926-1b6f-4ceb-933d-dc193ac8154c,conversations-000.json,1758666816.815288,e7a294cc4f7e8c55e3e567b75dee3b7ef27b5981f6877789d31cf752fd727157,d9459c829d084c2a26ad29da0b8cc0ef0fc917f9820883be00deb600a62c1272,CANONICAL_SOURCE_RECORD,EXACT_SOURCE_CAPTURE,STRUCTURAL_SCAN_DISCOVERED,VALIDATED_STRUCTURAL,NOT_TESTED,FROZEN_SOURCE_TEXT,NOT_RELEASED,FROZEN_SOURCE_TEXT,ROOT_SOURCE_CAPTURE_FROM_DISCOVERY,OPEN_FOR_SOURCE_MAPPING,SOURCE_CHAT_LINK_PROVEN,SOURCE_LIBRARY_PRESENT_V3_ARTIFACTS,PENDING_FULL_PROMPT_AUDIT,PENDING_COMPARATIVE_AUDIT,CONTROLLED_NOT_RELEASED,2758,405
PB-0516,CHAT_ARCHIVE_EXTRACTED,assistant,آموزش دقیق درسی,68d410e9-99d8-832f-b5ad-4b1b36ece8c5,1ff25623-b099-4bfc-bd32-06c8d87f3682,conversations-000.json,1758748619.814596,5fb2b6ce9e5a7320862c21c54bb70930e7d3ee6997748dec3501e402f545a089,120061088424f5fa349626c8847e6fcb631d070270492a012d999293091b91d5,CANONICAL_SOURCE_RECORD,EXACT_SOURCE_CAPTURE,STRUCTURAL_SCAN_DISCOVERED,VALIDATED_STRUCTURAL,NOT_TESTED,FROZEN_SOURCE_TEXT,NOT_RELEASED,FROZEN_SOURCE_TEXT,ROOT_SOURCE_CAPTURE_FROM_DISCOVERY,OPEN_FOR_SOURCE_MAPPING,SOURCE_CHAT_LINK_PROVEN,LIBRARY_PRESENT_V3_ARTIFACTS,PENDING_FULL_PROMPT_AUDIT,PENDING_COMPARATIVE_AUDIT,CONTROLLED_NOT_RELEASED,2907,459
PB-0517,CHAT_ARCHIVE_EXTRACTED,assistant,آموزش دقیق درسی,68d410e9-99d8-832f-b5ad-4b1b36ece8c5,3e8e5a70-c73e-40d5-85e8-4612d0325569,conversations-000.json,1758748721.34373,6552c1ce56f8f0905843510e1a32fa441dd59f19a6e7139f8f93b4f0234be51d,8b9de77f384548f4b7d8ff4002bf8a3ae1e29ba133f4e382e7de355e4f89a812,CANONICAL_SOURCE_RECORD,EXACT_SOURCE_CAPTURE,STRUCTURAL_SCAN_DISCOVERED,VALIDATED_STRUCTURAL,NOT_TESTED,FROZEN_SOURCE_TEXT,NOT_RELEASED,FROZEN_SOURCE_TEXT,ROOT_SOURCE_CAPTURE_FROM_DISCOVERY,OPEN_FOR_SOURCE_MAPPING,SOURCE_CHAT_LINK_PROVEN,LIBRARY_PRESENT_V3_ARTIFACTS,PENDING_FULL_PROMPT_AUDIT,PENDING_COMPARATIVE_AUDIT,CONTROLLED_NOT_RELEASED,2877,437
PB-0518,CHAT_ARCHIVE_EXTRACTED,assistant,آموزش دقیق درسی,68d410e9-99d8-832f-b5ad-4b1b36ece8c5,597d57af-e6dc-429e-a53a-6d0032532dcb,conversations-000.json,1758748653.089469,79a0532c4e5c24b8ff2d131e7f311a01d95bb57417da42061942ba5c8c55636d,e82f23ffb786fe7e764d0c235ea01a79a9ae730198d912269a847522090fcab3,CANONICAL_SOURCE_RECORD,EXACT_SOURCE_CAPTURE,STRUCTURAL_SCAN_DISCOVERED,VALIDATED_STRUCTURAL,NOT_TESTED,FROZEN_SOURCE_TEXT,NOT_RELEASED,FROZEN_SOURCE_TEXT,ROOT_SOURCE_CAPTURE_FROM_DISCOVERY,OPEN_FOR_SOURCE_MAPPING,SOURCE_CHAT_LINK_PROVEN,LIBRARY_PRESENT_V3_ARTIFACTS,PENDING_FULL_PROMPT_AUDIT,PENDING_COMPARATIVE_AUDIT,CONTROLLED_NOT_RELEASED,3063,480
PB-0519,CHAT_ARCHIVE_EXTRACTED,assistant,آموزش دقیق درسی,68d410e9-99d8-832f-b5ad-4b1b36ece8c5,77b67d6c-3ca4-4ae5-9bd5-ee2c0c4d5579,conversations-000.json,1758748751.997262,0a94da9aad971912fdf3d55ec16762498803d04a93521a8c838e262931fbb2ef,47644644070882b4d08d8339e42f49648a93beac41db70c689a32b65211c3f16,CANONICAL_SOURCE_RECORD,EXACT_SOURCE_CAPTURE,STRUCTURAL_SCAN_DISCOVERED,VALIDATED_STRUCTURAL,NOT_TESTED,FROZEN_SOURCE_TEXT,NOT_RELEASED,FROZEN_SOURCE_TEXT,ROOT_SOURCE_CAPTURE_FROM_DISCOVERY,OPEN_FOR_SOURCE_MAPPING,SOURCE_CHAT_LINK_PROVEN,LIBRARY_PRESENT_V3_ARTIFACTS,PENDING_FULL_PROMPT_AUDIT,PENDING_COMPARATIVE_AUDIT,CONTROLLED_NOT_RELEASED,2839,439
